player_id,player_name,position,age,total_games,seasons,ppg,projected_fpts,replacement_pts,par,auction_value,adp_rank,years_of_experience_x,years_of_experience_y,headshot_url,latest_team,ds_proj,consensus_proj,injury_risk,sos,ds_auction_value,Team,Bye,fpts_2025
00-0038622,Deuce Vaughn,RB,,11.0,2.0,2.4169491525423727,73.76974888101729,109.10619302376719,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z8lnunc6vvq9qlnidaw3",DEN,,,,,,,,
00-0038627,Antoine Green,WR,,2.0,1.0,0.6,94.06053477415598,109.28942998067417,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x5jwwdjpwiwe5sdtjzsd",DET,,,,,,,,
00-0038632,Colton Dowell,WR,,2.0,1.0,0.65,94.23053477415598,109.28942998067417,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/asnykoet55r5qhhewijc",SF,,,,,,,,
00-0038636,Kenny McIntosh,RB,,7.0,1.0,3.1999999999999997,88.69704914759365,109.10619302376719,0.0,1.0,313.0,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ysygpo0sm8rbptosqrrc",SEA,18.0,3.0,0%,0%,1.0,SEA,8.0,
00-0038640,Jalen Brooks,WR,,17.0,3.0,3.2801724137931045,74.72700701311068,109.28942998067417,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drpljzij7e0e9ojwf0cq",ARI,,,,,,,,8.100000000000001
00-0038643,Brayden Willis,TE,,2.0,2.0,0.0,65.08850577616117,120.68874601123403,0.0,1.0,,,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pz1nzzfellquco7nk65e",SF,,,,,,,,0.0
00-0038647,Ronnie Bell,WR,,12.0,3.0,4.057142857142858,87.39312452993515,109.28942998067417,0.0,1.0,,,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iz3uiudpv80vgvgjzzej",NO,,,,,,,,10.3
00-0038658,Adrian Martinez,QB,,1.0,1.0,-0.1,201.08445988838358,338.3693359437138,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uxqlgiljk3wecurnynmg",SF,,,,,,,,-0.1
00-0038667,Elijah Cooks,WR,,2.0,1.0,3.400000000000001,103.58053477415598,109.28942998067417,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdwpqogatij3pqncde1l",NO,,,,,,,,
00-0038678,Jordan Mims,RB,,8.0,2.0,3.4471698113207547,88.65442697209546,109.10619302376719,0.0,1.0,,,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nvamfcrdqvkwtnpgmzdh",TEN,,,,,,,,
